SaleID,BranchCode,BranchCity,BranchSize,BranchOwner,YearOfEstablishment,CustomerType,CustomerGenderCode,CustomerGender,ProductLineCode,ProductLine,ProductLineSupplier,UnitPrice,Quantity,TotalNoTAX,Tax 5%,TotalWithTAX,SaleMonthInNumber,SaleMonth,SaleQuarter,SaleYear,SaleTime,SalePayment,Rating
750-67-8428,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,HB,Health and beauty,Dove,74.69,7,522.83,26.14,548.97,7,July,Q3,2019,13:08:00,Ewallet,9.1
226-31-3081,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,EA,Electronic accessories,Samsung,15.28,5,76.4,3.82,80.22,8,August,Q3,2019,10:29:00,Cash,9.6
631-41-3108,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,HL,Home and lifestyle,Bed Bath & Beyond,46.33,7,324.31,16.22,340.53,7,July,Q3,2019,13:23:00,Credit card,7.4
123-19-1176,A,Yangon,550,Mitchel Frenkman,2005,Member,1,Male,HB,Health and beauty,Dove,58.22,8,465.76,23.29,489.05,2,February,Q1,2019,20:33:00,Ewallet,8.4
373-73-7910,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,ST,Sports and travel,REI ,86.31,7,604.17,30.21,634.38,2,February,Q1,2019,10:37:00,Ewallet,5.3
699-14-3026,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,1,Male,EA,Electronic accessories,Samsung,85.39,7,597.73,29.89,627.62,7,July,Q3,2019,18:30:00,Ewallet,4.1
355-53-5943,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,EA,Electronic accessories,Samsung,68.84,6,413.04,20.65,433.69,8,August,Q3,2019,14:36:00,Ewallet,5.8
315-22-5665,C,Naypyitaw,750,Joseph Shonfeild,2009,Normal,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,73.56,10,735.6,36.78,772.38,4,April,Q2,2019,11:38:00,Ewallet,8
665-32-9167,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,HB,Health and beauty,Dove,36.26,2,72.52,3.63,76.15,12,December,Q4,2019,17:15:00,Credit card,7.2
692-92-5582,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FB,Food and beverages,Kraft Heinz,54.84,3,164.52,8.23,172.75,3,March,Q1,2019,13:27:00,Credit card,5.9
351-62-0822,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,FA,Fashion accessories,Nordstrom,14.48,4,57.92,2.9,60.82,11,November,Q4,2019,18:07:00,Ewallet,4.5
529-56-3974,B,Mandalay,835,Mohamd Gabar,2016,Member,1,Male,EA,Electronic accessories,Samsung,25.51,4,102.04,5.1,107.14,10,October,Q4,2019,17:03:00,Cash,6.8
365-64-0515,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,EA,Electronic accessories,Samsung,46.95,5,234.75,11.74,246.49,3,March,Q1,2019,10:25:00,Ewallet,7.1
252-56-2699,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,FB,Food and beverages,Kraft Heinz,43.19,10,431.9,21.6,453.5,2,February,Q1,2019,16:48:00,Ewallet,8.2
829-34-3910,A,Yangon,550,Mitchel Frenkman,2005,Normal,2,Female,HB,Health and beauty,Dove,71.38,10,713.8,35.69,749.49,10,October,Q4,2019,19:21:00,Cash,5.7
299-46-1805,B,Mandalay,835,Mohamd Gabar,2016,Member,2,Female,ST,Sports and travel,REI ,93.72,6,562.32,28.12,590.44,1,January,Q1,2019,16:19:00,Cash,4.5
656-95-9349,A,Yangon,550,Mitchel Frenkman,2005,Member,2,Female,HB,Health and beauty,Dove,68.93,7,482.51,24.13,506.64,11,November,Q4,2019,11:03:00,Credit card,4.6
765-26-6951,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,ST,Sports and travel,REI ,72.61,6,435.66,21.78,457.44,6,June,Q2,2019,10:39:00,Credit card,6.9
329-62-1586,A,Yangon,550,Mitchel Frenkman,2005,Normal,1,Male,FB,Food and beverages,Kraft Heinz,54.67,3,164.01,8.2,172.21,5,May,Q2,2019,18:00:00,Credit card,8.6
319-50-3348,B,Mandalay,835,Mohamd Gabar,2016,Normal,2,Female,HL,Home and lifestyle,Bed Bath & Beyond,40.3,2,80.6,4.03,84.63,12,December,Q4,2019,15:30:00,Ewallet,4.4
300-71-4605,C,Naypyitaw,750,Joseph Shonfeild,2009,Member,1,Male,EA,Electronic accessories,Samsung,86.04,5,430.2,21.51,451.71,7,July,Q3,2019,11:24:00,Ewallet,4.8
